"Brain.expression.cluster","cluster_id"
"Cluster 1: Neurons - Mixed function",1
"Cluster 2: Neurons - Nucleosome",2
"Cluster 3: Choroid plexus - Cilium",3
"Cluster 4: Non-specific - mRNA splicing & Cell cycle",4
"Cluster 5: Non-specific - Mixed function",5
"Cluster 6: Non-specific - Immune response",6
"Cluster 7: Non-specific - Ribosome",7
"Cluster 8: Immune cells - Immune response",8
"Cluster 9: Non-specific - Receptor signaling",9
"Cluster 10: Cerebellum - Nucleic acid binding",10
"Cluster 11: White matter - Signal transduction",11
"Cluster 12: Non-specific - Vasculature",12
"Cluster 13: Oligodendrocytes - Mixed function",13
"Cluster 14: Neurons - Synaptic function",14
"Cluster 15: Non-specific - Transcription",15
"Cluster 16: Non-specific - Transcription",16
"Cluster 17: Choroid plexus - Cilium",17
"Cluster 18: Non-specific - Mixed function",18
"Cluster 19: Astrocytes - Mixed function",19
"Cluster 20: Macrophages & Microglia - Immune response",20
"Cluster 21: Non-specific - Metabolism",21
"Cluster 22: Non-specific - Mixed function",22
"Cluster 23: Choroid plexus - Mixed function",23
"Cluster 24: Neurons - Mixed function",24
"Cluster 25: Non-specific - Transcription",25
"Cluster 26: Oligodendrocytes - Mixed function",26
"Cluster 27: Non-specific - Mixed function",27
"Cluster 28: Oligodendrocytes - Mixed function",28
"Cluster 29: Forebrain - Mixed function",29
"Cluster 30: White matter - Myelination",30
"Cluster 31: Non-specific - Transcription",31
"Cluster 32: Cerebral cortex - Mixed function",32
"Cluster 33: Neurons - Mixed function",33
"Cluster 34: Non-specific - Mixed function",34
"Cluster 35: Non-specific - DNA binding",35
"Cluster 36: Choroid plexus - Mixed function",36
"Cluster 37: Neurons - Mixed function",37
"Cluster 38: Sub-cortical - Mixed function",38
"Cluster 39: Astrocytes - Mixed function",39
"Cluster 40: Astrocytes - Astrocyte-neuron interactions",40
"Cluster 41: Monoamines - Neurotransmitter signalling",41
"Cluster 42: Choroid plexus - Mitochondria",42
"Cluster 43: Hindbrain - Mixed function",43
"Cluster 44: Non-specific - Mixed function",44
"Cluster 45: Non-specific - Mixed function",45
"Cluster 46: Brainstem - Mixed function",46
"Cluster 47: Endothelial cells - Vasculature",47
"Cluster 48: Non-specific - Mixed function",48
"Cluster 49: Hindbrain - Mixed function",49
"Cluster 50: Non-specific - Nucleic acid binding",50
"Cluster 51: Neurons - Mixed function",51
"Cluster 52: Neurons & Synapses - Synaptic function",52
"Cluster 53: Neurons - Mixed function",53
"Cluster 54: Immune cells - T cell receptor",54
"Cluster 55: Non-specific - Transcription",55
"Cluster 56: Hypothalamus - Neuropeptide signaling",56
"",NA
