"Single.cell.expression.cluster","cluster_id"
"Cluster 1: Erythroid cells - Oxygen transport",1
"Cluster 2: Skeletal myocytes - Muscle contraction",2
"Cluster 3: Basal prostatic cells - Lipid metabolism",3
"Cluster 4: Extravillous trophoblasts - Unknown function",4
"Cluster 5: Enterocytes - Absorption",5
"Cluster 6: Ovarian stromal cells - Transcription",6
"Cluster 7: T-cells - T-cell receptor",7
"Cluster 8: Neurons - Neuronal signaling",8
"Cluster 9: Endometrial stromal cells - Transcription",9
"Cluster 10: Muller glia cells - Visual perception",10
"Cluster 11: Late spermatids - Unknown function",11
"Cluster 12: Squamous epithelial cells - Keratinization",12
"Cluster 13: Spermatids - Transcription",13
"Cluster 14: Langerhans cells - Innate immune response",14
"Cluster 15: Non-specific - Mixed function",15
"Cluster 16: Intestinal goblet cells - Mucin production",16
"Cluster 17: Breast glandular cells - Lactation",17
"Cluster 18: Early spermatids - Unknown function",18
"Cluster 19: NK-cells - Adaptive immune response",19
"Cluster 20: Enteroendocrine cells - Hormone signaling",20
"Cluster 21: Early spermatids - Spermatogenesis",21
"Cluster 22: Proximal enterocytes - Digestion",22
"Cluster 23: Plasma cells - Humoral immune response",23
"Cluster 24: Cytotrophoblasts - Mitochondria",24
"Cluster 25: Bipolar cells - Visual perception",25
"Cluster 26: Schwann cells & Melanocytes - Mixed function",26
"Cluster 27: Syncytiotrophoblasts - Pregnancy",27
"Cluster 28: Dendritic cells - Antigen presentation",28
"Cluster 29: Monocytes - Innate immune response",29
"Cluster 30: Granulocytes - Unknown function",30
"Cluster 31: Spermatocytes - Spermatogenesis",31
"Cluster 32: Smooth muscle cells - Muscle contraction",32
"Cluster 33: Non-specific - DNA binding",33
"Cluster 34: Neurons - Neuronal signaling",34
"Cluster 35: Respiratory epithelial cells - Unknown function",35
"Cluster 36: Late spermatids - Unknown function",36
"Cluster 37: Glandular & Luminal cells - Unknown function",37
"Cluster 38: Proximal tubular cells - Transmembrane transport",38
"Cluster 39: Non-specific - Basic cellular processes",39
"Cluster 40: Prostatic glandular cells - Transcription",40
"Cluster 41: Adipocytes & Endothelial cells - Mixed function",41
"Cluster 42: Ciliated cells - Cilium assembly",42
"Cluster 43: Hepatocytes - Metabolism",43
"Cluster 44: Oocytes - Unknown function",44
"Cluster 45: Non-specific - Mixed function",45
"Cluster 46: Gastric mucus-secreting cells - Digestion",46
"Cluster 47: Astrocytes - Unknown function",47
"Cluster 48: Smooth muscle cells - Signal transduction",48
"Cluster 49: Non-specific - Transcription",49
"Cluster 50: Connective tissue cells - ECM organization",50
"Cluster 51: Oligodendrocytes - Unknown function",51
"Cluster 52: Non-specific - Cell proliferation",52
"Cluster 53: Fibroblasts - ECM organization",53
"Cluster 54: Lymphatic endothelial cells - Lymph vessel development",54
"Cluster 55: Non-specific - Transcription",55
"Cluster 56: Proximal tubular cells - Amino acid metabolism",56
"Cluster 57: Platelets - Hemostasis",57
"Cluster 58: Macrophages - Innate immune response",58
"Cluster 59: Suprabasal keratinocytes - Cornification",59
"Cluster 60: Pancreatic exocrine cells - Proteolysis",60
"Cluster 61: Plasma cells - Immunoglobulins & histones",61
"Cluster 62: Hepatocytes - Metabolism",62
"Cluster 63: Late spermatids - Spermatogenesis",63
"Cluster 64: Non-specific - Ribosome",64
"Cluster 65: Neurons - Synaptic function",65
"Cluster 66: Photoreceptor cells - Visual perception",66
"Cluster 67: Spermatogonia - Spermatogenesis",67
"Cluster 68: Cardiomyocytes - Muscle contraction",68
"Cluster 69: Neurons - Neuronal signaling",69
"Cluster 70: Spermatocytes & Spermatids - Spermatid development",70
"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling",71
"Cluster 72: Alveolar cells - Lung function",72
"Cluster 73: B-cells - B-cell function",73
"Cluster 74: Neutrophils - Degranulation",74
"Cluster 75: Serous glandular cells - Salivary secretion",75
"Cluster 76: Oligodendrocyte precursor - Unknown function",76
"Cluster 77: Plasma cells - Protein processing",77
"Cluster 78: NK-cells & T-cells - Immune system & Transcription",78
"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis",79
"Cluster 80: Non-specific - Transcription",80
"",NA
