"Tissue.expression.cluster","cluster_id"
"Cluster 1: Liver & Kidney - Metabolism",1
"Cluster 2: Skeletal muscle - Striated muscle contraction",2
"Cluster 3: Non-specific - Unknown function",3
"Cluster 4: Testis - Basic cellular processes",4
"Cluster 5: Brain & Testis - Signal transduction",5
"Cluster 6: Bone marrow - Innate immune response",6
"Cluster 7: Adipose tissue - Mixed function",7
"Cluster 8: Ciliated cells - Cilium organization",8
"Cluster 9: Oligodendrocytes - Myelination",9
"Cluster 10: Testis - Spermatid development",10
"Cluster 11: Liver - Plasma proteins",11
"Cluster 12: Heart muscle - Cardiac muscle contraction",12
"Cluster 13: Skin - Cornification",13
"Cluster 14: Skeletal muscle - Muscle contraction",14
"Cluster 15: Pancreas - Proteolysis",15
"Cluster 16: Non-specific - Transcription",16
"Cluster 17: Neuronal - Synaptic function",17
"Cluster 18: Non-specific - Ribosome",18
"Cluster 19: Non-specific - Basic cellular processes",19
"Cluster 20: Testis - Spermatogenesis",20
"Cluster 21: Testis - Unknown function",21
"Cluster 22: Brain - Synaptic signal transduction",22
"Cluster 23: Non-specific - Cellular respiration",23
"Cluster 24: Parathyroid gland - Vesicular transport",24
"Cluster 25: Small intestine - Absorption",25
"Cluster 26: Adrenal gland - Steroid metabolism",26
"Cluster 27: Squamous epithelium - Keratinization",27
"Cluster 28: Neuronal - Transcription",28
"Cluster 29: Squamous epithelium - Innate immune response",29
"Cluster 30: Heart muscle - Heart development",30
"Cluster 31: Liver - Plasma proteins",31
"Cluster 32: Endocrine & Neural - Unknown function",32
"Cluster 33: Brain - Neuronal signaling",33
"Cluster 34: Non-specific - Mixed function",34
"Cluster 35: Non-specific - Mitochondria",35
"Cluster 36: Lymphoid tissue - Cytokine signaling",36
"Cluster 37: Liver & Intestine - Lipid metabolism",37
"Cluster 38: Salivary gland - Salivary secretion",38
"Cluster 39: Retina & Testis - Cilium",39
"Cluster 40: Non-specific - Transcription",40
"Cluster 41: Smooth muscle tissue - ECM organization",41
"Cluster 42: Testis - Spermatogenesis",42
"Cluster 43: Non-specific - Mitochondrial translation",43
"Cluster 44: Testis - Spermatogenesis",44
"Cluster 45: Intestine - Digestion",45
"Cluster 46: Testis - Spermatogenesis",46
"Cluster 47: Spleen - Immune response",47
"Cluster 48: Stomach - Proteolysis",48
"Cluster 49: Pituitary gland - Hormone signaling",49
"Cluster 50: Epididymis - Male reproductive secretion",50
"Cluster 51: Thyroid gland - Unknown function",51
"Cluster 52: Kidney - Transmembrane transport",52
"Cluster 53: Non-specific - Glycosylation",53
"Cluster 54: Non-specific - Basic cellular processes",54
"Cluster 55: Kidney & Intestine - Metabolism",55
"Cluster 56: Non-specific - Unknown function",56
"Cluster 57: Lung - Lung function",57
"Cluster 58: Placenta - Pregnancy",58
"Cluster 59: Fallopian tube - Tissue development",59
"Cluster 60: Choroid plexus - Transmembrane transport",60
"Cluster 61: Brain - Neuronal signaling",61
"Cluster 62: Connective tissue - ECM organization",62
"Cluster 63: Testis - Spermatid development",63
"Cluster 64: Neuronal - Transcription",64
"Cluster 65: Cerebellum - Nervous system development",65
"Cluster 66: Non-specific - Transcription",66
"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation",67
"Cluster 68: Non-specific - Protein processing",68
"Cluster 69: Liver - Oxidoreductase activity",69
"Cluster 70: Lymphoid tissue - Immune response",70
"Cluster 71: Thymus - Adaptive immune response",71
"Cluster 72: Testis & Skeletal muscle - Protein ubiquitination",72
"Cluster 73: Breast - Lactation",73
"Cluster 74: Spermatids - Flagellum assembly",74
"Cluster 75: Epithelium - Extracellular exosomes",75
"Cluster 76: Retina - Visual perception",76
"Cluster 77: Bone marrow - Cell proliferation",77
"Cluster 78: Testis - Transcription",78
"Cluster 79: Non-specific - Transcription",79
"Cluster 80: Non-specific - Endocytosis",80
"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response",81
"Cluster 82: Skin - Keratinization",82
"Cluster 83: Liver - Metabolism",83
"",NA
